epoch,capsnet_acc,capsnet_loss,decoder_loss,loss
0,0.4492718456222594,0.4378797273757388,0.11235149835860267,0.6064069747056776
1,0.7819402880851519,0.259652418919159,0.10624177226374301,0.4190150772722729
2,0.8403997093171438,0.2192957730743335,0.10448853609397271,0.37602857708477627
3,0.8808155966543902,0.18635733877872704,0.10365551694213634,0.341840614013489
4,0.897847717943021,0.1664298189159967,0.10295880929651996,0.3208680327549771
5,0.9107200587258756,0.15016917851195946,0.10245496493954102,0.30385162576454355
6,0.9223642625877392,0.1362981197023114,0.10202159916930661,0.28933051816419214
7,0.9314669394475741,0.12392369729071646,0.10164640170488652,0.276393300080745
8,0.938384974752297,0.11441091272218278,0.1013409430963658,0.2664223277884226
9,0.9444129702554704,0.10628497002652204,0.10101619331000818,0.2578092604352294
10,0.9483009633219358,0.098936593494586,0.10064340483481637,0.24990170041527177
11,0.9525851529242007,0.09403299077717132,0.1003975990295497,0.24462938945442353
12,0.9565094194324264,0.08800510757888576,0.10028732078514185,0.23843608911016803
13,0.9590177123760153,0.08417590992867788,0.10011438911283216,0.23434749350538917
14,0.9629824352656013,0.07977268060720394,0.09999141702929576,0.22975980639891752
15,0.9656957863411085,0.0750976015457998,0.09987239837405365,0.22490619875273657
16,0.9688081499133375,0.07130604590375125,0.09970100436702362,0.22085755262760506
17,0.9688081496143256,0.06902073565317411,0.09969640308883315,0.21856534069786662
18,0.9701836660500724,0.06650784331951021,0.09953434982182804,0.2158093675193359
19,0.9728133289431453,0.06442873870081448,0.09942135254352337,0.21356076758090553
20,0.9732200594974567,0.06242176324496811,0.09931721270663067,0.2113975825023304
21,0.9743102139924682,0.05996088921277449,0.09924575356878561,0.20882951966361404
22,0.9771017024254508,0.05829267038477163,0.09915426628787267,0.207024069544094
23,0.9774658096792513,0.05669045502679982,0.0991612200089687,0.2054322848503562
24,0.9780321988832585,0.05493813743814072,0.09906334372106054,0.20353315287987114
25,0.9784789597042942,0.05385536062199634,0.0989189156569227,0.2022337342422564
26,0.9799336469890095,0.05298975149148615,0.09884829670058184,0.20126219663489586
27,0.9795695400631576,0.05208039700470124,0.09890368549651009,0.20043592505233557
28,0.9813496197434206,0.05093056232415942,0.09890949400025034,0.19929480337818828
29,0.9816328140030074,0.049872214707505774,0.09892373359883831,0.19825781499604517
